step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,2452.5,0,2452.5,0,0,0
10,0,0,0,0,0,7.32207,2444.31,0,2451.63,0,0.010084,0.10625
20,0,0,0,0,0,28.5688,2421.48,0,2450.05,0,0.011708,0.225959
30,0,0,0,0,0,62.7083,2384.35,0,2447.06,0,0.010042,0.335084
40,0,0,0,0,0,108.766,2333.36,0,2442.13,0,0.01025,0.436251
50,0,0,0,0,0,165.825,2268.74,0,2434.57,0,0.01275,0.54121
60,0,0,0,0,0,233.021,2190.91,0,2423.93,0,0.011958,0.658709
70,0,0,0,0,0,309.542,2100.14,0,2409.68,0,0.009792,0.759543
80,0,0,0,0,0,394.613,1996.77,0,2391.38,0,0.009875,0.860878
90,0,0,0,0,0,487.522,1881.12,0,2368.64,0,0.010041,0.96171
100,0,0,0,0,0,587.591,1753.52,0,2341.11,0,0.009875,1.06213
110,0,0,0,0,0,694.174,1614.2,0,2308.38,0,0.011542,1.18967
120,0,0,0,0,0,806.682,1463.48,0,2270.16,0,0.010166,1.29259
130,0,0,0,0,0,924.532,1301.66,0,2226.19,0,0.010375,1.39688
140,0,0,0,0,0,1047.21,1129,0,2176.21,0,0.010208,1.50029
150,0,0,0,0,0,1174.23,945.768,0,2120,0,0.011917,1.61929
160,0,0,0,0,0,1305.09,752.218,0,2057.31,0,0.011667,1.73771
170,0,0,0,0,0,1439.39,548.609,0,1988,0,0.01175,1.90767
180,0,0,0,0,0,1576.71,335.198,0,1911.91,0,0.011583,2.02383
190,0,0,0,0,0,1716.67,112.22,0,1828.89,0,0.010125,2.12625
200,0,0,0,0,0,0.527422,3.50952,0,4.03695,0,0.01,2.23367
210,0,0,0,0,0,0.00997639,0,0,0.00997639,0,0.011792,2.35758
220,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010042,2.45921
230,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010417,2.56396
240,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.01375,2.68088
250,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.011833,2.80808
260,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.01,2.90904
270,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.009875,3.01004
280,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.011834,3.12725
290,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.011625,3.24417
300,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010083,3.34563
310,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.011958,3.46917
320,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010166,3.57154
330,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.01025,3.67409
340,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010084,3.7758
350,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.012375,3.8798
360,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.011625,3.99667
370,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010458,4.11592
380,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.01,4.25017
390,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.016958,4.36405
400,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.012084,4.47275
410,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010125,4.59384
420,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010292,4.69642
430,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010292,4.79846
440,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010458,4.90538
450,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.009667,5.00759
460,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010292,5.10938
470,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.01,5.21092
480,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010042,5.32521
490,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010167,5.42575
500,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.009875,5.52742
510,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010166,5.649
520,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010417,5.75525
530,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.009958,5.85671
540,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.01025,5.95863
550,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010584,6.06476
560,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.009958,6.16642
570,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010334,6.27667
580,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010291,6.38901
590,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.014125,6.54188
600,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010167,6.65417
610,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010042,6.77192
620,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010083,6.87376
630,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.01025,6.97572
640,0,0,0,0,0,0.000169846,0,0,0.000169846,0,0.010208,7.07788
