step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,4291.86,0,4291.86,0,0,0
10,0,0,0,0,0,7.32207,4283.72,0,4291.04,0,0.010791,0.108459
20,0,0,0,0,0,28.5688,4260.86,0,4289.43,0,0.010292,0.214043
30,0,0,0,0,0,62.7083,4223.77,0,4286.48,0,0.010541,0.319501
40,0,0,0,0,0,108.766,4172.7,0,4281.46,0,0.010875,0.427292
50,0,0,0,0,0,165.825,4108.12,0,4273.95,0,0.0105,0.551667
60,0,0,0,0,0,233.021,4030.29,0,4263.32,0,0.0105,0.657125
70,0,0,0,0,0,309.542,3939.51,0,4249.06,0,0.010458,0.762166
80,0,0,0,0,0,394.613,3836.17,0,4230.79,0,0.010417,0.867251
90,0,0,0,0,0,487.522,3720.52,0,4208.04,0,0.010667,0.975542
100,0,0,0,0,0,587.591,3592.87,0,4180.46,0,0.010458,1.08113
110,0,0,0,0,0,694.174,3453.56,0,4147.73,0,0.012208,1.21225
120,0,0,0,0,0,806.682,3302.87,0,4109.56,0,0.012417,1.33608
130,0,0,0,0,0,924.532,3141.02,0,4065.56,0,0.012166,1.45891
140,0,0,0,0,0,1047.21,2968.39,0,4015.6,0,0.012333,1.58137
150,0,0,0,0,0,1174.23,2785.14,0,3959.38,0,0.011916,1.70762
160,0,0,0,0,0,1305.09,2591.57,0,3896.66,0,0.01175,1.8297
170,0,0,0,0,0,1439.39,2388,0,3827.39,0,0.010875,1.93741
180,0,0,0,0,0,1576.71,2174.58,0,3751.29,0,0.012583,2.06312
190,0,0,0,0,0,1716.67,1951.6,0,3668.27,0,0.01075,2.17049
200,0,0,0,0,0,1858.88,1719.28,0,3578.17,0,0.010459,2.27616
210,0,0,0,0,0,2003.02,1477.89,0,3480.91,0,0.013917,2.39041
220,0,0,0,0,0,2148.81,1227.6,0,3376.41,0,0.012208,2.51516
230,0,0,0,0,0,2295.91,968.667,0,3264.57,0,0.01075,2.62066
240,0.0815911,0,0,4,5.96046e-08,2398.22,701.62,0.460222,3100.3,0,0.010709,2.72604
250,0.567857,0,0,15,5.96046e-08,2329.1,442.745,145.055,2916.9,0,0.010667,2.833
260,0.846934,0,0,14,5.96046e-08,2144.29,200.899,469.3,2814.49,0,0.010625,2.94049
270,1.07257,0,0,6,5.96046e-08,191.413,85.8815,679.192,956.486,0,0.010708,3.04849
280,1.33582,0,0,32,5.96046e-08,263.399,102.299,573.533,939.232,0,0.011125,3.15641
290,0.753694,0,0,8,5.96046e-08,380.72,153.538,362.162,896.42,0,0.010834,3.26745
300,0.441259,0,0,17,5.96046e-08,368.338,211.392,239.127,818.857,0,0.011292,3.38253
310,0.438877,0,0,13,5.96046e-08,369.952,263.568,148.653,782.173,0,0.015541,3.52541
320,0.827706,0,0,12,5.96046e-08,256.558,309.434,158.777,724.77,0,0.011,3.63649
330,0.336891,0,0,11,5.96046e-08,233.9,347.155,109.576,690.631,0,0.010959,3.74708
340,0.627904,0,0,10,5.96046e-08,172.106,375.848,125.57,673.524,0,0.011083,3.85679
350,0.455241,0,0,5,5.96046e-08,151.153,393.983,129.746,674.882,0,0.011167,3.96741
360,0.387662,0,0,3,5.96046e-08,126.608,398.231,132.528,657.367,0,0.0105,4.07437
370,0.372568,0,0,3,5.96046e-08,139.986,388.883,125.426,654.295,0,0.010958,4.18945
380,0.352627,0,0,1,5.96046e-08,143.76,367.891,118.041,629.693,0,0.01075,4.2955
390,0.405496,0,0,0,0,163,337.612,112.48,613.092,0,0.010417,4.40146
400,0.346237,0,0,0,0,174.696,297.836,117.909,590.441,0,0.010875,4.50875
410,0.304217,0,0,7,5.96046e-08,158.164,260.944,119.219,538.326,0,0.010958,4.61854
420,0.369016,0,0,13,5.96046e-08,124.94,230.052,131.186,486.179,0,0.01275,4.7425
430,0.651812,0,0,19,5.96046e-08,88.1625,215.294,144.804,448.26,0,0.011208,4.85425
440,0.56807,0,0,13,5.96046e-08,88.9188,213.971,128.951,431.841,0,0.012333,4.97017
450,0.405901,0,0,20,5.96046e-08,69.199,219.76,126.232,415.191,0,0.011541,5.08408
460,0.313434,0,0,13,5.96046e-08,68.599,226.037,106.889,401.525,0,0.012625,5.20325
470,0.347235,0,0,24,5.96046e-08,74.5022,233.225,77.4605,385.188,0,0.011125,5.31617
480,0.259066,0,0,14,5.96046e-08,68.175,241.075,69.3086,378.558,0,0.023042,5.47417
490,0.270156,0,0,16,5.96046e-08,66.4868,248.132,58.2251,372.844,0,0.011416,5.58896
500,0.348359,0,0,18,5.96046e-08,54.2856,250.81,61.6267,366.722,0,0.011125,5.70333
510,0.3523,0,0,18,5.96046e-08,45.1748,246.895,63.5717,355.642,0,0.012208,5.81875
520,0.277207,0,0,15,5.96046e-08,38.4463,242.562,57.8177,338.826,0,0.011416,5.93246
530,0.287393,0,0,14,5.96046e-08,39.8498,238.972,58.683,337.504,0,0.015583,6.05309
540,0.30966,0,0,16,5.96046e-08,31.9331,235.877,60.5941,328.404,0,0.011042,6.16488
550,0.280912,0,0,10,5.96046e-08,30.9941,234.633,55.1774,320.804,0,0.010833,6.27808
560,0.225451,0,0,21,5.96046e-08,33.5644,235.211,48.3023,317.078,0,0.011375,6.39104
570,0.232551,0,0,17,5.96046e-08,31.9003,236.912,43.4509,312.263,0,0.011084,6.51442
580,0.27213,0,0,13,5.96046e-08,31.4482,238.82,41.1758,311.444,0,0.011166,6.62655
590,0.27458,0,0,14,5.96046e-08,27.7633,238.074,37.4998,303.337,0,0.012542,6.75234
600,0.250421,0,0,21,5.96046e-08,29.7179,233.238,36.5791,299.535,0,0.010958,6.86621
610,0.352826,0,0,19,5.96046e-08,30.7166,226.84,41.1309,298.687,0,0.012542,6.99263
620,0.277422,0,0,22,5.96046e-08,27.3073,220.697,44.9711,292.976,0,0.011334,7.10663
630,0.345014,0,0,22,5.96046e-08,23.4619,216.645,48.785,288.892,0,0.013042,7.23329
640,0.276324,0,0,15,5.96046e-08,25.9689,214.402,45.9999,286.37,0,0.011084,7.34605
