step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,9809.78,0,9809.78,0,0,0
10,0,0,0,0,0,29.2876,9777.58,0,9806.86,0,0.043208,0.438125
20,0,0,0,0,0,114.274,9685.89,0,9800.17,0,0.044541,0.873666
30,0,0,0,0,0,250.826,9537.54,0,9788.37,0,0.053208,1.36979
40,0,0,0,0,0,435.05,9333.48,0,9768.53,0,0.049625,1.87867
50,0,0,0,0,0,663.299,9074.78,0,9738.08,0,0.043959,2.32
60,0,0,0,0,0,932.118,8763.56,0,9695.68,0,0.042916,2.77754
70,0,0,0,0,0,1238.13,8400.65,0,9638.78,0,0.043542,3.21187
80,0,0,0,0,0,1578.44,7987.06,0,9565.51,0,0.042625,3.64812
90,0,0,0,0,0,1950.08,7524.43,0,9474.51,0,0.043625,4.11041
100,0,0,0,0,0,2350.41,7014.14,0,9364.55,0,0.043291,4.5422
110,0,0,0,0,0,2776.67,6456.66,0,9233.33,0,0.043084,4.98108
120,0,0,0,0,0,3226.77,5854.07,0,9080.84,0,0.042833,5.41483
130,0,0,0,0,0,3698.12,5206.66,0,8904.79,0,0.04575,5.86141
140,0,0,0,0,0,4188.86,4515.93,0,8704.79,0,0.045083,6.31966
150,0,0,0,0,0,4696.86,3782.99,0,8479.85,0,0.044334,6.76862
160,0,0,0,0,0,5220.48,3008.87,0,8229.35,0,0.044125,7.24441
170,0.421227,0,0,46,5.96046e-08,5403.67,2222.34,70.3789,7696.39,0,0.0475,7.70404
180,0.751309,0,0,61,5.96046e-08,5637.24,1432.17,365.4,7434.81,0,0.044167,8.16953
190,1.31636,0,0,39,5.96046e-08,5726.97,641.201,784.634,7152.81,0,0.044083,8.60916
200,1.68575,0,0,25,5.96046e-08,270.241,232.812,1189.26,1692.31,0,0.0445,9.08828
210,2.17278,0,0,22,5.96046e-08,140.738,194.89,1306.88,1642.51,0,0.044959,9.53595
220,2.48565,0,0,37,5.96046e-08,144.629,219.978,1151.79,1516.4,0,0.04425,9.98332
