step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,4806.9,0,4806.9,0,0,0
10,0,0,0,0,0,14.3511,4790.88,0,4805.23,0,0.020833,0.210625
20,0,0,0,0,0,55.9955,4746.08,0,4802.08,0,0.021084,0.421709
30,0,0,0,0,0,122.909,4673.32,0,4796.23,0,0.020792,0.633542
40,0,0,0,0,0,213.182,4573.4,0,4786.58,0,0.025083,0.891541
50,0,0,0,0,0,325.017,4446.67,0,4771.69,0,0.02125,1.11058
60,0,0,0,0,0,456.721,4294.13,0,4750.85,0,0.021084,1.33108
70,0,0,0,0,0,606.698,4116.2,0,4722.9,0,0.021541,1.54396
80,0,0,0,0,0,773.452,3913.66,0,4687.11,0,0.024708,1.78221
90,0,0,0,0,0,955.54,3686.98,0,4642.52,0,0.026916,2.05137
100,0,0,0,0,0,1151.67,3436.92,0,4588.59,0,0.022542,2.26833
110,0,0,0,0,0,1360.59,3163.86,0,4524.45,0,0.021542,2.48583
120,0,0,0,0,0,1581.08,2868.41,0,4449.49,0,0.021292,2.7355
130,0,0,0,0,0,1812.08,2551.27,0,4363.35,0,0.021042,2.96758
140,0,0,0,0,0,2052.53,2212.84,0,4265.37,0,0.022458,3.17983
150,0,0,0,0,0,2301.49,1853.68,0,4155.17,0,0.021,3.39175
160,0,0,0,0,0,2557.97,1474.33,0,4032.3,0,0.021083,3.60325
170,0.417609,0,0,19,5.96046e-08,2631.91,1089.48,55.7829,3777.18,0,0.021125,3.81779
180,0.756319,0,0,20,5.96046e-08,2673.97,710.163,262.819,3646.95,0,0.021083,4.03255
190,0.859543,0,0,26,5.96046e-08,2623.9,342.967,556.692,3523.56,0,0.021542,4.24896
200,1.13739,0,0,24,5.96046e-08,179.958,158.162,794.747,1132.87,0,0.021417,4.46742
210,1.55016,0,0,18,5.96046e-08,143.473,154.709,799.307,1097.49,0,0.022416,4.683
220,1.08844,0,0,15,5.96046e-08,276.408,199.051,551.448,1026.91,0,0.022291,4.90475
230,0.771635,0,0,19,5.96046e-08,292.579,271.387,449.205,1013.17,0,0.022125,5.13134
240,0.711648,0,0,22,5.96046e-08,312.186,346.442,312.697,971.326,0,0.022084,5.36084
250,0.77382,0,0,16,5.96046e-08,304.583,415.498,196.604,916.684,0,0.021792,5.58484
260,0.641692,0,0,34,5.96046e-08,217.195,476.789,159.65,853.634,0,0.022125,5.80463
270,0.515044,0,0,18,5.96046e-08,153.517,526.502,151.109,831.128,0,0.021625,6.02804
280,0.804959,0,0,6,5.96046e-08,112.017,560.465,142.242,814.724,0,0.021292,6.24329
290,0.643826,0,0,11,5.96046e-08,118.571,576.895,111.448,806.914,0,0.021791,6.46404
300,0.302607,0,0,25,5.96046e-08,125.708,578.043,88.3505,792.102,0,0.021708,6.68092
310,0.665484,0,0,21,5.96046e-08,134.27,559.885,89.5233,783.678,0,0.022,6.89558
320,0.435266,0,0,24,5.96046e-08,150.19,521.42,100.411,772.02,0,0.022125,7.11754
330,0.432016,0,0,27,5.96046e-08,172.12,466.422,112.845,751.387,0,0.024542,7.3375
340,0.510482,0,0,39,5.96046e-08,167.624,408.186,143.501,719.311,0,0.021875,7.56092
350,0.612686,0,0,38,5.96046e-08,120.917,361.396,195.71,678.023,0,0.022834,7.78584
360,0.604868,0,0,27,5.96046e-08,112.08,333.654,206.908,652.642,0,0.0225,8.01309
370,0.708159,0,0,55,5.96046e-08,83.3389,323.354,226.916,633.609,0,0.022208,8.26375
380,0.573013,0,0,34,5.96046e-08,78.8383,326.401,215.313,620.553,0,0.022084,8.49138
390,0.641634,0,0,43,5.96046e-08,90.6602,338.609,181.563,610.832,0,0.021958,8.71596
400,0.499475,0,0,40,5.96046e-08,74.0357,355.045,159.311,588.391,0,0.022375,8.93983
410,0.518431,0,0,39,5.96046e-08,72.4125,375.167,131.466,579.046,0,0.023292,9.16642
420,0.42247,0,0,42,5.96046e-08,71.7366,395.474,100.029,567.24,0,0.0225,9.39021
430,0.379641,0,0,39,5.96046e-08,56.6203,409.151,91.032,556.803,0,0.02225,9.615
440,0.490949,0,0,41,5.96046e-08,49.8442,413.844,87.084,550.772,0,0.022083,9.84092
450,0.414631,0,0,22,5.96046e-08,47.0608,412.514,84.0626,543.638,0,0.022292,10.0635
460,0.353408,0,0,36,5.96046e-08,47.4392,405.733,84.1514,537.324,0,0.022083,10.2896
470,0.673415,0,0,22,5.96046e-08,41.033,395.746,95.0784,531.857,0,0.022667,10.5124
480,0.464097,0,0,38,5.96046e-08,46.2498,384.002,93.66,523.912,0,0.022375,10.7447
490,0.457082,0,0,43,5.96046e-08,40.7519,372.276,105.996,519.024,0,0.02225,10.9693
500,0.416926,0,0,40,5.96046e-08,43.5384,361.131,110.61,515.279,0,0.022834,11.1951
510,0.450006,0,0,44,5.96046e-08,37.7645,352.071,119.492,509.328,0,0.022458,11.4203
520,0.480041,0,0,38,5.96046e-08,34.5734,345.836,121.758,502.167,0,0.02225,11.6455
530,0.502208,0,0,45,5.96046e-08,25.4999,342.566,133.97,502.036,0,0.022167,11.914
540,0.523146,0,0,35,5.96046e-08,31.6881,344.193,128.401,504.282,0,0.032458,12.1572
550,0.390105,0,0,52,5.96046e-08,35.0193,350.45,109.944,495.413,0,0.031208,12.3924
560,0.421998,0,0,45,5.96046e-08,25.116,359.023,105.231,489.37,0,0.022708,12.6179
570,0.395337,0,0,40,5.96046e-08,25.6994,367.259,98.8071,491.766,0,0.022041,12.8414
580,0.39013,0,0,50,5.96046e-08,26.9926,374.69,89.4669,491.15,0,0.022333,13.064
590,0.362622,0,0,46,5.96046e-08,27.7598,380.186,76.232,484.178,0,0.022334,13.2899
600,0.436591,0,0,46,5.96046e-08,20.6977,382.573,79.6146,482.885,0,0.02225,13.5149
610,0.387255,0,0,43,5.96046e-08,23.7185,381.933,75.934,481.585,0,0.023417,13.7476
620,0.428642,0,0,54,5.96046e-08,21.0462,377.946,80.5421,479.534,0,0.02225,13.9733
630,0.418035,0,0,50,5.96046e-08,22.7562,371.795,84.8712,479.422,0,0.022542,14.1972
640,0.414212,0,0,50,5.96046e-08,21.2438,365.011,88.4277,474.683,0,0.031166,14.4558
650,0.391764,0,0,46,5.96046e-08,20.4607,359.403,93.6644,473.528,0,0.022625,14.7268
660,0.471312,0,0,45,5.96046e-08,15.9817,356.026,98.1194,470.127,0,0.022291,14.9572
670,0.53569,0,0,49,5.96046e-08,19.2252,355.182,101.083,475.489,0,0.022042,15.1833
680,0.364144,0,0,54,5.96046e-08,20.7203,356.222,92.3873,469.329,0,0.0225,15.4083
690,0.549226,0,0,42,5.96046e-08,16.968,358.695,91.3814,467.045,0,0.022167,15.6322
700,0.482843,0,0,42,5.96046e-08,12.578,361.939,91.698,466.215,0,0.022458,15.8561
710,0.459594,0,0,49,5.96046e-08,17.6311,365.177,88.6999,471.508,0,0.022208,16.0836
720,0.448081,0,0,40,5.96046e-08,19.6922,367.725,79.473,466.89,0,0.021667,16.3078
730,0.424632,0,0,36,5.96046e-08,13.9099,368.561,81.5463,464.017,0,0.022334,16.5305
740,0.405316,0,0,38,5.96046e-08,13.8491,367.501,83.9845,465.335,0,0.022625,16.7527
750,0.516865,0,0,42,5.96046e-08,13.4303,365.473,86.7469,465.65,0,0.02275,17.0087
760,0.408527,0,0,45,5.96046e-08,19.2959,363.578,83.8382,466.712,0,0.022708,17.2858
770,0.37969,0,0,46,5.96046e-08,13.3252,362.569,84.8321,460.726,0,0.022792,17.5292
780,0.475938,0,0,43,5.96046e-08,13.9366,361.874,88.0248,463.835,0,0.022667,17.7575
790,0.612729,0,0,49,5.96046e-08,11.9829,361.077,88.7909,461.851,0,0.022958,17.9873
800,0.58455,0,0,39,5.96046e-08,15.8262,360.616,87.133,463.575,0,0.0225,18.2176
810,0.44399,0,0,40,5.96046e-08,12.7664,360.739,87.6926,461.198,0,0.023084,18.4468
820,0.525185,0,0,55,5.96046e-08,16.0399,361.95,84.2549,462.245,0,0.022917,18.6764
830,0.490583,0,0,47,5.96046e-08,10.8526,363.544,83.4953,457.892,0,0.022416,18.9037
840,0.4139,0,0,45,5.96046e-08,10.5319,365.227,85.261,461.02,0,0.022209,19.1281
850,0.401376,0,0,53,5.96046e-08,16.5646,366.173,79.4664,462.204,0,0.02225,19.3509
860,0.464294,0,0,51,5.96046e-08,12.577,366.513,78.7447,457.835,0,0.031583,19.5941
870,0.469476,0,0,45,5.96046e-08,12.3584,365.991,78.6595,457.009,0,0.022125,19.8178
880,0.52439,0,0,50,5.96046e-08,7.68973,364.581,86.0884,458.359,0,0.022041,20.0408
890,0.445053,0,0,48,5.96046e-08,16.4299,362.69,80.7869,459.907,0,0.021958,20.2656
900,0.479245,0,0,48,5.96046e-08,12.0219,360.848,83.1828,456.052,0,0.022541,20.4901
910,0.357274,0,0,58,5.96046e-08,12.6022,359.746,82.7461,455.094,0,0.022084,20.7141
920,0.469578,0,0,43,5.96046e-08,7.79063,359.64,88.2345,455.665,0,0.02225,20.9397
930,0.41026,0,0,48,5.96046e-08,12.8338,360.054,84.9913,457.879,0,0.022125,21.1621
940,0.384451,0,0,47,5.96046e-08,13.3514,360.768,81.3168,455.436,0,0.021958,21.3873
950,0.413482,0,0,49,5.96046e-08,11.2145,361.718,81.7966,454.729,0,0.022417,21.6092
960,0.423903,0,0,41,5.96046e-08,10.1517,362.605,79.8379,452.594,0,0.022291,21.8338
970,0.551011,0,0,39,5.96046e-08,8.02988,363.255,85.6849,456.97,0,0.022209,22.0579
980,0.36433,0,0,42,5.96046e-08,15.0206,363.484,76.575,455.08,0,0.022167,22.2825
990,0.45957,0,0,39,5.96046e-08,9.67192,363.521,79.7547,452.948,0,0.021959,22.5057
1000,0.379885,0,0,46,5.96046e-08,10.0907,363.256,78.8711,452.218,0,0.022,22.7474
1010,0.504497,0,0,46,5.96046e-08,8.82894,362.582,84.1324,455.543,0,0.0225,22.9719
1020,0.396596,0,0,36,5.96046e-08,12.1768,361.856,78.723,452.756,0,0.022125,23.2124
1030,0.474563,0,0,49,5.96046e-08,9.12738,361.384,82.2874,452.799,0,0.022167,23.4556
1040,0.42948,0,0,46,5.96046e-08,11.3066,361.248,81.1341,453.688,0,0.02225,23.6807
1050,0.427664,0,0,59,5.96046e-08,9.86549,361.266,79.3104,450.441,0,0.02225,23.9092
1060,0.499266,0,0,56,5.96046e-08,7.23035,361.326,85.0249,453.581,0,0.022333,24.1329
1070,0.371115,0,0,44,5.96046e-08,11.3422,361.352,79.9253,452.62,0,0.022541,24.3569
1080,0.433239,0,0,50,5.96046e-08,11.0547,361.45,81.0251,453.529,0,0.022208,24.5808
1090,0.422993,0,0,43,5.96046e-08,9.71379,361.762,76.8281,448.304,0,0.022583,24.8061
1100,0.469587,0,0,49,5.96046e-08,6.17585,362.239,84.8443,453.259,0,0.022292,25.0285
1110,0.42701,0,0,50,5.96046e-08,10.8155,362.717,79.1315,452.664,0,0.022125,25.2506
1120,0.467888,0,0,43,5.96046e-08,12.1303,362.942,78.0479,453.12,0,0.022291,25.4745
1130,0.407189,0,0,57,5.96046e-08,8.3432,362.896,76.8096,448.049,0,0.022291,25.7205
1140,0.579358,0,0,54,5.96046e-08,6.60271,362.693,82.8317,452.127,0,0.022125,25.9439
1150,0.439824,0,0,57,5.96046e-08,11.7045,362.373,79.7811,453.859,0,0.022,26.168
1160,0.47056,0,0,46,5.96046e-08,8.98386,361.875,79.0291,449.888,0,0.022708,26.3922
1170,0.597803,0,0,58,5.96046e-08,10.5995,361.256,80.3779,452.233,0,0.022375,26.617
1180,0.413873,0,0,45,5.96046e-08,7.42369,360.703,80.3846,448.512,0,0.022375,26.8402
1190,0.51497,0,0,40,5.96046e-08,8.87121,360.451,84.6253,453.948,0,0.022458,27.0642
1200,0.353222,0,0,48,5.96046e-08,10.12,360.616,79.4715,450.208,0,0.022333,27.2891
