step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,2452.5,0,2452.5,0,0,0
10,0,0,0,0,0,7.32207,2444.31,0,2451.63,0,0.010625,0.106249
20,0,0,0,0,0,28.5688,2421.48,0,2450.05,0,0.010292,0.210874
30,0,0,0,0,0,62.7083,2384.35,0,2447.06,0,0.0135,0.323374
40,0,0,0,0,0,108.766,2333.36,0,2442.13,0,0.010584,0.430667
50,0,0,0,0,0,165.825,2268.74,0,2434.57,0,0.011834,0.549209
60,0,0,0,0,0,233.021,2190.91,0,2423.93,0,0.010833,0.657168
70,0,0,0,0,0,309.542,2100.14,0,2409.68,0,0.010709,0.764209
80,0,0,0,0,0,394.613,1996.77,0,2391.38,0,0.011875,0.895499
90,0,0,0,0,0,487.522,1881.12,0,2368.64,0,0.01475,1.023
100,0,0,0,0,0,587.591,1753.52,0,2341.11,0,0.012042,1.14338
110,0,0,0,0,0,694.174,1614.2,0,2308.38,0,0.011959,1.26509
120,0,0,0,0,0,806.682,1463.48,0,2270.16,0,0.012166,1.38609
130,0,0,0,0,0,924.532,1301.66,0,2226.19,0,0.010625,1.49725
140,0,0,0,0,0,1047.21,1129,0,2176.21,0,0.010709,1.63859
150,0,0,0,0,0,1174.23,945.768,0,2120,0,0.010583,1.75555
160,0,0,0,0,0,1305.09,752.218,0,2057.31,0,0.010583,1.86196
170,0.375175,0,0,20,5.96046e-08,1354.3,555.218,11.7731,1921.29,0,0.010917,1.97013
180,0.731499,0,0,8,5.96046e-08,1425.9,356.02,69.5912,1851.51,0,0.012542,2.28363
190,1.24571,0,0,13,5.96046e-08,1467.15,154.34,160.929,1782.42,0,0.012292,2.41038
200,1.93757,0,0,15,5.96046e-08,72.7122,48.9076,242.927,364.547,0,0.01225,2.53588
210,2.80345,0,0,2,5.96046e-08,31.5915,36.3024,288.304,356.198,0,0.012958,2.66109
220,3.57197,0,0,9,5.96046e-08,17.2038,35.1761,287.151,339.531,0,0.012833,2.78992
230,2.67174,0,0,6,5.96046e-08,41.0663,42.1057,250.897,334.069,0,0.012791,2.91884
240,1.66641,0,0,14,5.96046e-08,78.3384,55.9174,205.49,339.745,0,0.012625,3.05821
250,1.23848,0,0,16,5.96046e-08,90.9029,75.8319,172.377,339.112,0,0.012458,3.18942
260,0.937199,0,0,13,5.96046e-08,94.2313,98.9597,142.19,335.381,0,0.013041,3.31738
270,0.82007,0,0,6,5.96046e-08,87.4171,122.653,119.674,329.744,0,0.038,3.501
280,0.975384,0,0,7,5.96046e-08,70.8741,144.054,102.208,317.137,0,0.039,3.70684
290,0.865122,0,0,8,5.96046e-08,47.6332,161.219,81.1255,289.978,0,0.0125,3.83563
300,0.939573,0,0,7,5.96046e-08,33.2957,173.353,71.772,278.421,0,0.012584,3.97192
310,0.913499,0,0,15,5.96046e-08,27.3116,180.014,67.3296,274.655,0,0.012958,4.10096
320,0.735263,0,0,10,5.96046e-08,26.7549,180.263,63.8782,270.896,0,0.012542,4.22822
330,0.82017,0,0,11,5.96046e-08,29.6959,175.816,62.1486,267.661,0,0.014417,4.35755
340,0.886773,0,0,7,5.96046e-08,36.5981,166.351,64.1779,267.127,0,0.0145,4.50917
350,0.875748,0,0,12,5.96046e-08,41.2608,151.901,71.3517,264.514,0,0.012666,4.63742
360,1.05099,0,0,20,5.96046e-08,46.6035,135.358,78.3175,260.279,0,0.012833,4.76434
370,0.882079,0,0,16,5.96046e-08,36.1058,119.969,84.6813,240.756,0,0.01275,4.89267
380,0.977154,0,0,7,5.96046e-08,23.5616,109.113,91.7794,224.454,0,0.013208,5.02447
390,0.983028,0,0,12,5.96046e-08,17.4886,102.124,97.0514,216.664,0,0.031708,5.35667
400,0.91348,0,0,19,5.96046e-08,11.499,98.4597,100.188,210.147,0,0.032042,5.75659
410,1.02814,0,0,12,5.96046e-08,9.82508,98.4105,99.6175,207.853,0,0.031916,6.10867
420,1.05666,0,0,14,5.96046e-08,8.53448,101.242,96.0738,205.85,0,0.061542,6.45784
430,1.00884,0,0,10,5.96046e-08,10.4587,106.149,87.9072,204.515,0,0.031833,6.77684
440,0.943195,0,0,10,5.96046e-08,13.3658,112.125,78.1232,203.614,0,0.031834,7.10755
450,0.655223,0,0,10,5.96046e-08,14.4548,118.772,70.4924,203.719,0,0.03175,7.42584
460,0.753728,0,0,7,5.96046e-08,12.2471,125.417,66.0724,203.736,0,0.03175,7.74288
470,0.99254,0,0,6,5.96046e-08,8.6155,131.219,63.2021,203.037,0,0.032042,8.09713
480,0.869817,0,0,8,5.96046e-08,6.9158,135.541,59.1927,201.65,0,0.029834,8.41267
490,0.940321,0,0,10,5.96046e-08,8.14165,137.897,54.881,200.92,0,0.012708,8.5405
500,0.710629,0,0,11,5.96046e-08,9.41935,138.207,53.6592,201.285,0,0.012875,8.6688
510,0.635107,0,0,13,5.96046e-08,8.48442,136.898,56.3876,201.77,0,0.012708,8.79663
520,0.893845,0,0,15,5.96046e-08,6.33735,134.37,60.2069,200.915,0,0.012667,8.92409
530,0.869211,0,0,9,5.96046e-08,6.42923,130.677,62.4043,199.511,0,0.012792,9.05992
540,0.979374,0,0,12,5.96046e-08,8.65851,126.047,63.737,198.442,0,0.01275,9.18788
550,0.732543,0,0,17,5.96046e-08,11.1811,120.787,66.455,198.423,0,0.012584,9.34938
560,0.69553,0,0,18,5.96046e-08,9.87488,116.02,72.4495,198.344,0,0.013375,9.49659
570,0.991294,0,0,15,5.96046e-08,6.65425,112.47,78.7199,197.844,0,0.012625,9.6248
580,0.938118,0,0,9,5.96046e-08,4.76536,109.775,81.9678,196.508,0,0.012875,9.75434
590,1.0568,0,0,19,5.96046e-08,6.78764,108.383,80.5773,195.748,0,0.012916,9.88259
600,0.822652,0,0,14,5.96046e-08,8.48984,108.472,79.2555,196.217,0,0.012583,10.0112
610,0.875368,0,0,15,5.96046e-08,6.70837,109.739,80.4843,196.932,0,0.012916,10.1389
620,0.901346,0,0,17,5.96046e-08,4.31951,111.997,79.8337,196.151,0,0.012667,10.2673
630,0.932139,0,0,21,5.96046e-08,4.70616,115.147,74.9684,194.822,0,0.012791,10.4218
640,0.850115,0,0,11,5.96046e-08,8.46206,118.986,67.0868,194.535,0,0.015833,10.5617
650,0.751719,0,0,11,5.96046e-08,9.9097,122.992,62.4658,195.367,0,0.016292,10.7127
660,0.711792,0,0,17,5.96046e-08,7.93625,126.572,61.4842,195.993,0,0.010959,10.825
670,0.738883,0,0,10,5.96046e-08,4.16767,129.354,61.8515,195.373,0,0.011084,10.9364
680,0.796922,0,0,18,5.96046e-08,2.73066,131.299,59.9754,194.005,0,0.011208,11.0469
690,0.660861,0,0,14,5.96046e-08,4.70534,132.193,56.2973,193.196,0,0.011042,11.1586
700,0.599375,0,0,15,5.96046e-08,7.31443,131.731,54.4747,193.52,0,0.011834,11.2701
710,0.684697,0,0,15,5.96046e-08,7.84963,130.216,56.3788,194.444,0,0.011042,11.3834
720,0.825172,0,0,16,5.96046e-08,6.25305,128.102,60.21,194.565,0,0.010875,11.5033
730,0.82874,0,0,9,5.96046e-08,4.37515,125.578,63.7576,193.71,0,0.010917,11.6208
740,0.741902,0,0,14,5.96046e-08,4.84757,122.935,65.0464,192.829,0,0.011417,11.7325
750,0.788847,0,0,16,5.96046e-08,6.37741,120.444,65.7207,192.542,0,0.011084,11.8435
760,0.855996,0,0,19,5.96046e-08,7.09008,118.414,67.6559,193.16,0,0.011209,11.955
770,1.05465,0,0,12,5.96046e-08,5.65117,116.883,70.9005,193.434,0,0.01225,12.0682
780,0.869533,0,0,17,5.96046e-08,3.86363,116.006,72.9073,192.777,0,0.011833,12.1955
790,0.753384,0,0,20,5.96046e-08,4.54374,115.913,71.7434,192.2,0,0.012209,12.3122
800,0.807999,0,0,17,5.96046e-08,6.22643,116.688,69.4816,192.396,0,0.011083,12.4236
810,0.877382,0,0,9,5.96046e-08,6.24586,118.146,68.6298,193.022,0,0.010959,12.536
820,1.13914,0,0,10,5.96046e-08,4.44593,120.114,68.2401,192.8,0,0.011208,12.6485
830,0.85425,0,0,15,5.96046e-08,3.52084,122.484,65.9802,191.985,0,0.011167,12.7647
840,0.745613,0,0,16,5.96046e-08,5.05031,124.811,61.6301,191.491,0,0.011,12.8843
