step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,2452.5,0,2452.5,0,0,0
10,0,0,0,0,0,7.32207,2444.31,0,2451.63,0,0.010875,0.109
20,0,0,0,0,0,28.5688,2421.48,0,2450.05,0,0.012042,0.230961
30,0,0,0,0,0,62.7083,2384.35,0,2447.06,0,0.010458,0.336921
40,0,0,0,0,0,108.766,2333.36,0,2442.13,0,0.010708,0.444797
50,0,0,0,0,0,165.825,2268.74,0,2434.57,0,0.012416,0.577212
60,0,0,0,0,0,233.021,2190.91,0,2423.93,0,0.012833,0.812547
70,0,0,0,0,0,309.542,2100.14,0,2409.68,0,0.012083,0.935963
80,0,0,0,0,0,394.613,1996.77,0,2391.38,0,0.012333,1.05855
90,0,0,0,0,0,487.522,1881.12,0,2368.64,0,0.011916,1.18204
100,0,0,0,0,0,587.591,1753.52,0,2341.11,0,0.012083,1.30517
110,0,0,0,0,0,694.174,1614.2,0,2308.38,0,0.011917,1.42596
120,0,0,0,0,0,806.682,1463.48,0,2270.16,0,0.012417,1.57367
130,0,0,0,0,0,924.532,1301.66,0,2226.19,0,0.01075,1.68026
140,0,0,0,0,0,1047.21,1129,0,2176.21,0,0.010417,1.78538
150,0,0,0,0,0,1174.23,945.768,0,2120,0,0.010375,1.89534
160,0,0,0,0,0,1305.09,752.218,0,2057.31,0,0.010667,2.00084
170,0.291848,0,0,9,5.96046e-08,1302.41,557.9,60.8455,1921.15,0,0.011625,2.10809
180,0.364353,0,0,9,5.96046e-08,1235.83,380.882,248.045,1864.76,0,0.010666,2.21567
190,0.349369,0,0,8,5.96046e-08,1084.91,238.124,486.374,1809.4,0,0.010375,2.32296
200,0.361525,0,0,9,5.96046e-08,285.985,180.802,611.01,1077.8,0,0.0125,2.45105
210,0.405558,0,0,27,5.96046e-08,401.512,222.542,284.547,908.601,0,0.011459,2.57651
220,0.290902,0,0,7,5.96046e-08,343.597,288.821,181.212,813.63,0,0.01125,2.68892
230,0.221786,0,0,8,5.96046e-08,254.511,345.163,163.779,763.452,0,0.012083,2.8125
240,0.231443,0,0,2,5.96046e-08,195.386,386.037,170.107,751.53,0,0.011125,2.9225
250,0.182962,0,0,4,5.96046e-08,186.078,412.941,120.129,719.149,0,0.010625,3.03071
260,0.159151,0,0,0,0,157.965,425.078,138.382,721.426,0,0.010875,3.13838
270,0.216604,0,0,3,5.96046e-08,130.855,422.982,134.161,687.998,0,0.012541,3.26509
280,0.175628,0,0,0,0,163.934,409.119,130.98,704.033,0,0.015375,3.3875
290,0.173372,0,0,3,5.96046e-08,180.829,383.539,116.458,680.826,0,0.012209,3.50954
300,0.205481,0,0,8,5.96046e-08,176.211,352.554,140.014,668.779,0,0.012458,3.633
310,0.171543,0,0,9,5.96046e-08,205.678,317.887,133.258,656.823,0,0.0125,3.75725
320,0.163704,0,0,8,5.96046e-08,198.763,285.921,109.364,594.048,0,0.012333,3.88258
330,0.236856,0,0,23,5.96046e-08,149.007,260.764,181.037,590.808,0,0.01275,4.00946
340,0.304371,0,0,15,5.96046e-08,125.79,253.855,198.409,578.053,0,0.012792,4.13692
350,0.326547,0,0,16,5.96046e-08,139.76,263.702,142.632,546.094,0,0.012416,4.26488
360,0.142037,0,0,9,5.96046e-08,153.143,279.722,95.9347,528.8,0,0.012333,4.39113
370,0.168456,0,0,9,5.96046e-08,125.433,290.001,95.9013,511.336,0,0.012666,4.519
380,0.174056,0,0,12,5.96046e-08,98.666,290.844,121.9,511.411,0,0.012542,4.64475
390,0.149315,0,0,10,5.96046e-08,106.512,286.451,104.479,497.442,0,0.0125,4.77021
400,0.236531,0,0,9,5.96046e-08,94.434,277.736,105.891,478.061,0,0.011083,4.88658
410,0.193671,0,0,16,5.96046e-08,74.4028,270.784,98.6063,443.793,0,0.011416,5.00046
420,0.190806,0,0,15,5.96046e-08,76.7957,269.418,81.0492,427.263,0,0.012542,5.11917
430,0.174541,0,0,20,5.96046e-08,68.6458,274.639,65.8567,409.142,0,0.011625,5.23642
440,0.143,0,0,12,5.96046e-08,64.3207,276.536,68.7392,409.596,0,0.013625,5.35967
450,0.135596,0,0,12,5.96046e-08,58.5378,272.894,63.855,395.287,0,0.011084,5.47263
460,0.164982,0,0,14,5.96046e-08,48.8562,267.954,67.139,383.949,0,0.01125,5.58413
470,0.175849,0,0,17,5.96046e-08,41.0411,269.162,57.4279,367.631,0,0.011042,5.69696
480,0.134193,0,0,12,5.96046e-08,40.8206,272.318,47.532,360.67,0,0.01075,5.80738
490,0.173362,0,0,15,5.96046e-08,35.9569,272.012,49.3877,357.357,0,0.01125,5.9185
500,0.142336,0,0,15,5.96046e-08,31.2096,269.493,48.5427,349.245,0,0.011084,6.02934
510,0.147984,0,0,13,5.96046e-08,26.3075,268.782,45.7937,340.883,0,0.014,6.14538
520,0.141384,0,0,20,5.96046e-08,27.5736,268.714,43.1321,339.42,0,0.014292,6.26296
530,0.15809,0,0,20,5.96046e-08,26.5642,268.385,40.866,335.815,0,0.0145,6.38205
540,0.132567,0,0,23,5.96046e-08,23.808,266.426,40.4772,330.711,0,0.010917,6.50288
550,0.121771,0,0,17,5.96046e-08,21.4928,264.724,39.4003,325.617,0,0.016583,6.62726
560,0.123955,0,0,20,5.96046e-08,18.3019,264.539,36.7129,319.554,0,0.011,6.74592
570,0.1188,0,0,18,5.96046e-08,18.6231,264.613,36.5401,319.776,0,0.014208,6.87138
580,0.127755,0,0,24,5.96046e-08,17.1806,263.854,35.6557,316.691,0,0.014125,6.98938
590,0.132032,0,0,23,5.96046e-08,16.4006,262.973,35.1905,314.565,0,0.011,7.10697
600,0.123602,0,0,14,5.96046e-08,14.1895,262.876,33.0779,310.143,0,0.014083,7.22576
610,0.107754,0,0,18,5.96046e-08,13.0855,262.933,32.3172,308.335,0,0.012375,7.3523
620,0.129192,0,0,13,5.96046e-08,12.6661,262.936,31.4263,307.028,0,0.014375,7.46788
630,0.112924,0,0,24,5.96046e-08,11.3599,262.57,30.7758,304.706,0,0.012667,7.59571
640,0.121742,0,0,13,5.96046e-08,10.1285,262.248,30.0495,302.426,0,0.014208,7.71213
650,0.115683,0,0,26,5.96046e-08,9.60849,261.918,29.1441,300.67,0,0.013458,7.85076
660,0.121815,0,0,13,5.96046e-08,9.1699,261.602,29.6236,300.395,0,0.011042,7.96767
670,0.128305,0,0,15,5.96046e-08,8.37156,261.392,28.8709,298.634,0,0.014334,8.09309
680,0.115232,0,0,22,5.96046e-08,7.92408,261.127,28.1139,297.165,0,0.010958,8.211
690,0.116436,0,0,16,5.96046e-08,7.25753,260.871,27.8082,295.937,0,0.014792,8.34842
700,0.118276,0,0,26,5.96046e-08,6.91451,260.69,27.8094,295.414,0,0.011083,8.46659
710,0.101508,0,0,24,5.96046e-08,6.17097,260.331,27.2131,293.715,0,0.012292,8.57921
720,0.117086,0,0,27,5.96046e-08,6.20114,259.847,26.9887,293.037,0,0.013209,8.69855
730,0.110142,0,0,16,5.96046e-08,5.71503,259.117,26.6558,291.487,0,0.012458,8.8218
740,0.113244,0,0,18,5.96046e-08,5.34549,258.291,27.6396,291.276,0,0.010958,8.9655
750,0.111644,0,0,18,5.96046e-08,4.94709,257.549,27.7932,290.29,0,0.013583,9.10392
760,0.126418,0,0,23,5.96046e-08,4.55256,257.136,27.5545,289.243,0,0.010708,9.22146
